langcode	language	institution	N	totalinst	perc
pon	Pohnpeian	NYPL	1	1925090	0
bnt	Bantu (Other)	NYPL	12	1925090	0
gil	Gilbertese	NYPL	2	1925090	0
kas	Kashmiri	NYPL	2	1925090	0
bra	Braj	NYPL	59	1925090	0
smi	Sami	NYPL	10	1925090	0
que	Quechua	NYPL	8	1925090	0
tyv	Tuvinian	NYPL	5	1925090	0
vie	Vietnamese	NYPL	173	1925090	0
sit	Sino-Tibetan (Other)	NYPL	16	1925090	0
chg	Chagatai	NYPL	5	1925090	0
gsw	Swiss German	NYPL	2	1925090	0
ath	Athapascan (Other)	NYPL	1	1925090	0
kom	Komi	NYPL	3	1925090	0
cpf	Creoles and Pidgins, French-based (Other)	NYPL	10	1925090	0
ton	Tongan	NYPL	2	1925090	0
sas	Sasak	NYPL	1	1925090	0
fao	Faroese	NYPL	32	1925090	0
krl	Karelian	NYPL	1	1925090	0
art	Artificial (Other)	NYPL	8	1925090	0
mun	Munda (Other)	NYPL	1	1925090	0
ijo	Ijo	NYPL	4	1925090	0
kok	Konkani	NYPL	5	1925090	0
syr	Syriac, Modern	NYPL	45	1925090	0
twi	Twi	NYPL	8	1925090	0
hau	Hausa	NYPL	5	1925090	0
yid	Yiddish	NYPL	119	1925090	0
roh	Raeto-Romance	NYPL	61	1925090	0
lad	Ladino	NYPL	6	1925090	0
nep	Nepali	NYPL	35	1925090	0
pro	Provençal (to 1500)	NYPL	38	1925090	0
mos	Mooré	NYPL	2	1925090	0
crh	Crimean Tatar	NYPL	5	1925090	0
kik	Kikuyu	NYPL	1	1925090	0
ilo	Iloko	NYPL	9	1925090	0
kum	Kumyk	NYPL	3	1925090	0
kos	Kosraean	NYPL	5	1925090	0
egy	Egyptian	NYPL	32	1925090	0
sai	South American Indian (Other)	NYPL	18	1925090	0
pam	Pampanga	NYPL	17	1925090	0
zap	Zapotec	NYPL	6	1925090	0
nds	Low German	NYPL	13	1925090	0
gla	Scottish Gaelic	NYPL	39	1925090	0
men	Mende	NYPL	2	1925090	0
dak	Dakota	NYPL	6	1925090	0
gez	Ethiopic	NYPL	5	1925090	0
nob	Norwegian (Bokmål)	NYPL	11	1925090	0
ina	Interlingua (International Auxiliary Language Association)	NYPL	8	1925090	0
sot	Sotho	NYPL	16	1925090	0
frm	French, Middle (ca. 1300-1600)	NYPL	40	1925090	0
hit	Hittite	NYPL	1	1925090	0
bai	Bamileke languages	NYPL	1	1925090	0
nah	Nahuatl	NYPL	9	1925090	0
glv	Manx	NYPL	5	1925090	0
den	Slavey	NYPL	4	1925090	0
che	Chechen	NYPL	6	1925090	0
ang	English, Old (ca. 450-1100)	NYPL	35	1925090	0
aym	Aymara	NYPL	8	1925090	0
crp	Creoles and Pidgins (Other)	NYPL	7	1925090	0
ceb	Cebuano	NYPL	3	1925090	0
grn	Guarani	NYPL	24	1925090	0
srd	Sardinian	NYPL	9	1925090	0
lin	Lingala	NYPL	2	1925090	0
bur	Burmese	NYPL	12	1925090	0
alg	Algonquian (Other)	NYPL	2	1925090	0
cor	Cornish	NYPL	3	1925090	0
cpp	Creoles and Pidgins, Portuguese-based (Other)	NYPL	1	1925090	0
ast	Bable	NYPL	20	1925090	0
new	Newari	NYPL	5	1925090	0
lub	Luba-Katanga	NYPL	3	1925090	0
cos	Corsican	NYPL	9	1925090	0
mad	Madurese	NYPL	1	1925090	0
kon	Kongo	NYPL	17	1925090	0
ibo	Igbo	NYPL	3	1925090	0
chm	Mari	NYPL	5	1925090	0
udm	Udmurt	NYPL	3	1925090	0
sin	Sinhalese	NYPL	5	1925090	0
mak	Makasar	NYPL	2	1925090	0
mnc	Manchu	NYPL	19	1925090	0
mni	Manipuri	NYPL	6	1925090	0
mwr	Marwari	NYPL	7	1925090	0
ber	Berber (Other)	NYPL	8	1925090	0
mic	Micmac	NYPL	1	1925090	0
efi	Efik	NYPL	2	1925090	0
grb	Grebo	NYPL	7	1925090	0
nso	Northern Sotho	NYPL	5	1925090	0
arg	Aragonese	NYPL	2	1925090	0
suk	Sukuma	NYPL	1	1925090	0
bas	Basa	NYPL	3	1925090	0
ava	Avaric	NYPL	3	1925090	0
afa	Afroasiatic (Other)	NYPL	3	1925090	0
mus	Creek	NYPL	5	1925090	0
cau	Caucasian (Other)	NYPL	16	1925090	0
khi	Khoisan (Other)	NYPL	1	1925090	0
kal	Kalâtdlisut	NYPL	4	1925090	0
cai	Central American Indian (Other)	NYPL	9	1925090	0
som	Somali	NYPL	4	1925090	0
tig	Tigré	NYPL	1	1925090	0
ira	Iranian (Other)	NYPL	2	1925090	0
cho	Choctaw	NYPL	4	1925090	0
snd	Sindhi	NYPL	4	1925090	0
mah	Marshallese	NYPL	2	1925090	0
sco	Scots	NYPL	4	1925090	0
niu	Niuean	NYPL	1	1925090	0
sna	Shona	NYPL	2	1925090	0
cpe	Creoles and Pidgins, English-based (Other)	NYPL	3	1925090	0
umb	Umbundu	NYPL	1	1925090	0
smo	Samoan	NYPL	8	1925090	0
nno	Norwegian (Nynorsk)	NYPL	5	1925090	0
kua	Kuanyama	NYPL	2	1925090	0
bat	Baltic (Other)	NYPL	3	1925090	0
abk	Abkhaz	NYPL	1	1925090	0
war	Waray	NYPL	2	1925090	0
non	Old Norse	NYPL	2	1925090	0
goh	German, Old High (ca. 750-1050)	NYPL	5	1925090	0
srr	Serer	NYPL	1	1925090	0
sel	Selkup	NYPL	1	1925090	0
him	Western Pahari languages	NYPL	11	1925090	0
arc	Aramaic	NYPL	3	1925090	0
pau	Palauan	NYPL	1	1925090	0
orm	Oromo	NYPL	9	1925090	0
gay	Gayo	NYPL	4	1925090	0
min	Minangkabau	NYPL	1	1925090	0
wol	Wolof	NYPL	1	1925090	0
fat	Fanti	NYPL	1	1925090	0
tmh	Tamashek	NYPL	2	1925090	0
chk	Chuukese	NYPL	1	1925090	0
ssa	Nilo-Saharan (Other)	NYPL	3	1925090	0
kaa	Kara-Kalpak	NYPL	1	1925090	0
fur	Friulian	NYPL	5	1925090	0
oto	Otomian languages	NYPL	1	1925090	0
bal	Baluchi	NYPL	2	1925090	0
peo	Old Persian (ca. 600-400 B.C.)	NYPL	1	1925090	0
ave	Avestan	NYPL	2	1925090	0
aus	Australian languages	NYPL	1	1925090	0
iro	Iroquoian (Other)	NYPL	3	1925090	0
khm	Khmer	NYPL	6	1925090	0
pag	Pangasinan	NYPL	6	1925090	0
ban	Balinese	NYPL	2	1925090	0
jrb	Judeo-Arabic	NYPL	1	1925090	0
yao	Yao (Africa)	NYPL	1	1925090	0
dzo	Dzongkha	NYPL	8	1925090	0
tsi	Tsimshian	NYPL	1	1925090	0
lah	Lahndā	NYPL	4	1925090	0
tir	Tigrinya	NYPL	1	1925090	0
day	Dayak	NYPL	1	1925090	0
myv	Erzya	NYPL	1	1925090	0
scn	Sicilian Italian	NYPL	1	1925090	0
sog	Sogdian	NYPL	1	1925090	0
ypk	Yupik languages	NYPL	1	1925090	0
rar	Rarotongan	NYPL	1	1925090	0
tso	Tsonga	NYPL	2	1925090	0
kab	Kabyle	NYPL	2	1925090	0
mga	Irish, Middle (ca. 1100-1550)	NYPL	1	1925090	0
uga	Ugaritic	NYPL	2	1925090	0
btk	Batak	NYPL	4	1925090	0
amh	Amharic	NYPL	8	1925090	0
wal	Wolayta	NYPL	1	1925090	0
tem	Temne	NYPL	4	1925090	0
moh	Mohawk	NYPL	1	1925090	0
fij	Fijian	NYPL	3	1925090	0
nya	Nyanja	NYPL	3	1925090	0
got	Gothic	NYPL	6	1925090	0
shn	Shan	NYPL	1	1925090	0
run	Rundi	NYPL	1	1925090	0
sme	Northern Sami	NYPL	1	1925090	0
tai	Tai (Other)	NYPL	1	1925090	0
cha	Chamorro	NYPL	1	1925090	0
chn	Chinook jargon	NYPL	1	1925090	0
mag	Magahi	NYPL	1	1925090	0
her	Herero	NYPL	1	1925090	0
nub	Nubian languages	NYPL	1	1925090	0
yor	Yoruba	NYPL	1	1925090	0
lol	Mongo-Nkundu	NYPL	3	1925090	0
ter	Terena	NYPL	1	1925090	0
man	Mandingo	NYPL	1	1925090	0
bua	Buriat	NYPL	1	1925090	0
bik	Bikol	NYPL	2	1925090	0
nav	Navajo	NYPL	1	1925090	0
nap	Neapolitan Italian	NYPL	1	1925090	0
elx	Elamite	NYPL	1	1925090	0
ewe	Ewe	NYPL	2	1925090	0
kbd	Kabardian	NYPL	2	1925090	0
lug	Ganda	NYPL	2	1925090	0
bug	Bugis	NYPL	1	1925090	0
inh	Ingush	NYPL	1	1925090	0
fan	Fang	NYPL	1	1925090	0
lez	Lezgian	NYPL	1	1925090	0
mas	Maasai	NYPL	1	1925090	0
nde	Ndebele (Zimbabwe)	NYPL	1	1925090	0
